scene_name,scene_token,decision,tags,notes,representative_sample_token,representative_cam_front,location,description,reviewed_at
scene-0011,c075fbdd97124beaba95bc5c25149f30,keep,,,d3edf20a8f97431bbd789e6601875946,samples/CAM_FRONT/n015-2018-07-18-11-18-34+0800__CAM_FRONT__1531884536862460.jpg,singapore-onenorth,"Turn left, pass trucks on both sides, construction workers, sleeping construction workers, garbage, parked cars",2026-08-21T10:33:17
scene-0012,265f002f02d447ad9074813292eef75e,skip,,,7c3328b43154403cac0991fd6e967de9,samples/CAM_FRONT/n015-2018-07-18-11-41-49+0800__CAM_FRONT__1531885333512466.jpg,singapore-onenorth,"Nature, bus stop, parked cars, bus exits from the intersection",2026-08-21T10:33:38
scene-0013,41fde20fedcd4d22ab26811688612870,skip,,,da5566fec7d841e399413ccef674c966,samples/CAM_FRONT/n015-2018-07-18-11-41-49+0800__CAM_FRONT__1531885349912464.jpg,singapore-onenorth,"Follow bus, parked cars, trash cans, parked bicycles, nature",2026-08-21T10:33:41
scene-0014,d1e57234fd6a463d963670938f9f556e,skip,,,23e2233434534104ab77e30f8c5289c0,samples/CAM_FRONT/n015-2018-07-18-11-41-49+0800__CAM_FRONT__1531885406662460.jpg,singapore-onenorth,"Follow bus, cross intersection, nature",2026-08-21T10:34:11
scene-0015,813213458a214a39a1d1fc77fa52fa34,skip,,,985f2f38301745b7ae7ef88ad9de59ca,samples/CAM_FRONT/n015-2018-07-18-11-41-49+0800__CAM_FRONT__1531885426862460.jpg,singapore-onenorth,"Narrow road, following bus, bus on opposite lane, parked cars",2026-08-21T10:34:17
scene-0016,efa5c96f05594f41a2498eb9f2e7ad99,skip,,,381fe530586b4c189e10cbefbfb0e773,samples/CAM_FRONT/n015-2018-07-18-11-41-49+0800__CAM_FRONT__1531885622862460.jpg,singapore-onenorth,"Turn left, people on both sides, parked vans",2026-08-21T10:34:20
scene-0017,3dd9ad3f963e4f588d75c112cbf07f56,skip,,,3425c66163af46cca4c96006d425e0eb,samples/CAM_FRONT/n015-2018-07-18-11-41-49+0800__CAM_FRONT__1531885774912473.jpg,singapore-onenorth,"Barriers, peds, arriving at busy intersection",2026-08-21T10:34:22
scene-0018,b51869782c0e464b8021eb798609f35f,skip,,,dbffcc96729b420380ace0e08ad587d5,samples/CAM_FRONT/n015-2018-07-18-11-41-49+0800__CAM_FRONT__1531885801862460.jpg,singapore-onenorth,"Merge left, turn into unloading zone",2026-08-21T10:34:25
scene-0019,de943e246dad4ad686de98008a634ecf,skip,,,49478b7a2bf74eb98ec3a7a86047dfa8,samples/CAM_FRONT/n015-2018-07-18-11-50-34+0800__CAM_FRONT__1531885872412465.jpg,singapore-onenorth,"Turn left, waiting peds, turn left",2026-08-21T10:34:28
scene-0020,4d475873416a4860900f5af213e0027c,skip,,,182cbaa9d85740f68f3436acc6073ef7,samples/CAM_FRONT/n015-2018-07-18-11-50-34+0800__CAM_FRONT__1531885917113103.jpg,singapore-onenorth,"Turn right, walking peds, pedestrian in blind spot in couple of frames, car park exit",2026-08-21T10:34:32
scene-0021,03ee880dd4e348f4b3407f0d073c7c70,skip,,,d14217acbfbf4003a301b6d3c1ea6637,samples/CAM_FRONT/n015-2018-07-18-11-50-34+0800__CAM_FRONT__1531885987412463.jpg,singapore-onenorth,"Wait at intersection, jaywalkers, parking lot, parked bicycle, turn right, construction, truck",2026-08-21T10:34:34
scene-0022,7e3a6bdd6c6f4c8fb018cff404974446,skip,,,090cc8955ca24ab290e29ce76f3b088b,samples/CAM_FRONT/n015-2018-07-18-11-50-34+0800__CAM_FRONT__1531886008412467.jpg,singapore-onenorth,"Barriers, construction, lane switch, turn left",2026-08-21T10:34:36
scene-0023,d0880a386b6d434bb5cd13c134af7a3e,skip,,,bb229f2eb199473195c3b8891be4ae8d,samples/CAM_FRONT/n015-2018-07-18-11-50-34+0800__CAM_FRONT__1531886031412466.jpg,singapore-onenorth,"Overtake parked car, bus turning, motorcycle",2026-08-21T10:34:40
scene-0024,d7ebcbbd26d849b384c11bec8df28a9b,skip,,,7d858cfead5048bc9052699b51464806,samples/CAM_FRONT/n015-2018-07-18-11-50-34+0800__CAM_FRONT__1531886054412463.jpg,singapore-onenorth,"Intersection, peds in cafe, parked motorcycle, ped crossing",2026-08-21T10:34:42
scene-0025,0c601ff2bf004fccafec366b08bf29e2,skip,,,fbd7c6f480404ebc83f7138418d79408,samples/CAM_FRONT/n015-2018-07-18-11-50-34+0800__CAM_FRONT__1531886079412465.jpg,singapore-onenorth,Ped crossing street in front of ego vehicle,2026-08-21T10:34:50
scene-0026,b79d940da8df43d09ee972c2414ffeca,skip,,,7b83f82e4ff1440294cd995820de6134,samples/CAM_FRONT/n015-2018-07-18-11-50-34+0800__CAM_FRONT__1531886099262463.jpg,singapore-onenorth,"Parked cars, peds on the roadside",2026-08-21T10:34:52
scene-0027,1d4db80d13f342aba4881b38099bc4b7,skip,,,30ec9fa5b6f54b0483f9bcfaf2907fd5,samples/CAM_FRONT/n015-2018-07-18-11-50-34+0800__CAM_FRONT__1531886128412465.jpg,singapore-onenorth,"Delivery motorcycle turns left, veh turn right",2026-08-21T10:34:55
scene-0028,3a1850241080418b88dcee97c7d17ed7,skip,,,f4d031beba464ce6ad8ab92d2086d6d3,samples/CAM_FRONT/n015-2018-07-18-11-50-34+0800__CAM_FRONT__1531886148362460.jpg,singapore-onenorth,"Taxi parked on road, bicycle rack, many peds, many jaywalkers, parked bicycles, ped exiting taxi, ped crossing traffic light, lane change, peds crossing crosswalk",2026-08-21T10:34:57
scene-0029,6520b5f0d568414c973f791b30ee1548,skip,,,ff51a4dad44a4fa089a20b088fb33ab9,samples/CAM_FRONT/n015-2018-07-18-11-50-34+0800__CAM_FRONT__1531886168262460.jpg,singapore-onenorth,"Waiting, peds crossing intersection",2026-08-21T10:35:02
scene-0030,82aef599650d462db73731b7ff40918b,skip,,,29924498950847cf978e6bab1c42722c,samples/CAM_FRONT/n015-2018-07-18-11-50-34+0800__CAM_FRONT__1531886207412463.jpg,singapore-onenorth,"Two parked motorcycles, overtake",2026-08-21T10:35:15
scene-0031,f444b757d7e2444c889da10f02b73491,skip,,,d94d3bb0e241476cb3ebf32cc5abe31b,samples/CAM_FRONT/n015-2018-07-18-11-50-34+0800__CAM_FRONT__1531886232412466.jpg,singapore-onenorth,"Construction, workers sitting on grass, garbage",2026-08-21T10:35:17
scene-0032,9047b53fd41540649dce014a128cbe1b,skip,,,0f8910c8005d43029efa7de74e59ab44,samples/CAM_FRONT/n015-2018-07-18-11-50-34+0800__CAM_FRONT__1531886252412467.jpg,singapore-onenorth,"Turn left, motorcycle driving, ped sitting",2026-08-21T10:35:23
scene-0033,6e81ee0f64274490a403bbd6482c2bf9,skip,,,6d78a78c771f4ba4b1edf393f68d265c,samples/CAM_FRONT/n015-2018-07-18-11-50-34+0800__CAM_FRONT__1531886332412465.jpg,singapore-onenorth,"Low traffic, following bus",2026-08-21T10:35:26
scene-0034,bb73edb93a0a46c4be997c576e9beb61,skip,,,07030fd431244721b416f1ad898ffeb3,samples/CAM_FRONT/n015-2018-07-18-11-50-34+0800__CAM_FRONT__1531886392162460.jpg,singapore-onenorth,"No traffic, dead end street, overtake parked truck",2026-08-21T10:35:29
scene-0035,3dd2be428534403ba150a0b60abc6a0a,skip,,,7b86bda4144e46b08b5c8aea57bfa969,samples/CAM_FRONT/n015-2018-07-24-10-42-41+0800__CAM_FRONT__1532400193612460.jpg,singapore-onenorth,"Parking lots, trash can, bump, scooter, peds, potential jaywalkers, bus stop, oncoming bus",2026-08-21T10:35:34
scene-0036,5a0dd8908a3a459b83ec5eb6ac7d0f82,skip,,,f8d77275b248436794a049c74b69e9f1,samples/CAM_FRONT/n015-2018-07-24-10-42-41+0800__CAM_FRONT__1532400236662460.jpg,singapore-onenorth,"Parked bicycle, construction, peds, workers, construction vehicle, bike racks",2026-08-21T10:35:36
scene-0038,2f56eb47c64f43df8902d9f88aa8a019,keep,,,d5ad6fac138744c0b7cadc62843cb9be,samples/CAM_FRONT/n015-2018-07-24-10-42-41+0800__CAM_FRONT__1532400357662460.jpg,singapore-onenorth,"Parked construction vehicles, peds, garbage",2026-08-21T10:35:54
scene-0039,8edbc31083ab4fb187626e5b3c0411f7,skip,,,edc5f9bd039342cb9403a18d2cee773d,samples/CAM_FRONT/n015-2018-07-24-10-42-41+0800__CAM_FRONT__1532400523612460.jpg,singapore-onenorth,"Busy street, parked cars, parking lot, ped sitting at bus stop, motorcycle driving",2026-08-21T10:35:58
scene-0041,359f9c029ae44e1d9d47c05bc7915561,skip,,,402f14fef086441eb0379b62ef63a9a6,samples/CAM_FRONT/n015-2018-07-24-11-03-52+0800__CAM_FRONT__1532401500612460.jpg,singapore-onenorth,"Turn left, arrive at busy intersection, red light",2026-08-21T10:47:40
scene-0042,c6c092a66329470f836714f46b92d59b,skip,,,ad0eebd1fb5a43a3869d0eb92a2bf210,samples/CAM_FRONT/n015-2018-07-24-11-03-52+0800__CAM_FRONT__1532401568862460.jpg,singapore-onenorth,"Parked cars, many peds, parked bicycles, trash can, parking lots",2026-08-21T10:47:50
scene-0043,70368a18644046f898ab836fc8a3c03f,skip,,,bf0bf249247141a4b9bc968d821830bd,samples/CAM_FRONT/n015-2018-07-24-11-03-52+0800__CAM_FRONT__1532401627912460.jpg,singapore-onenorth,"Busy intersection, oncoming traffic, construction zone on the left",2026-08-21T10:48:03
scene-0044,8758419c03ab47a59ea6d6620176f3a3,skip,,,f83a988f1f05475ca70bffb832a8574c,samples/CAM_FRONT/n015-2018-07-24-11-03-52+0800__CAM_FRONT__1532401769362460.jpg,singapore-onenorth,"Truck turns, parked cars, bump, bikes",2026-08-21T10:48:07
scene-0045,eac3102e4cc24d4b95532bcc711a902f,skip,,,00972ce25a2142b2867ccf11fb8bffeb,samples/CAM_FRONT/n015-2018-07-24-11-13-19+0800__CAM_FRONT__1532402016262460.jpg,singapore-onenorth,"Full parking lot, peds, exiting from car park",2026-08-21T10:54:57
scene-0046,798e8504b4364d378270333a349ef508,skip,,,74188da251e34b25804604c1780de55f,samples/CAM_FRONT/n015-2018-07-24-11-13-19+0800__CAM_FRONT__1532402044862460.jpg,singapore-onenorth,"Busy intersection, ped crossing, waiting for traffic light, construction zone on the left",2026-08-21T10:55:11
scene-0047,4047f251c21a475abb49518e0fa6fa9e,skip,,,313a983dcd2d47909a0f5c14334bcf11,samples/CAM_FRONT/n015-2018-07-24-11-13-19+0800__CAM_FRONT__1532402139162460.jpg,singapore-onenorth,"Construction workers close to road, vehicle turn out, cross intersection",2026-08-21T10:55:20
scene-0048,cf550d9670274ac1a7f274fbacb39c48,skip,,,acb1948fee9b4f88a68330d1f61eda13,samples/CAM_FRONT/n015-2018-07-24-11-13-19+0800__CAM_FRONT__1532402166112460.jpg,singapore-onenorth,"Construction, narrow road, construction workers, heavy construction vehicles, right turn",2026-08-21T10:55:25
scene-0049,095d9b93b583425f910ae2afaf1d017d,skip,,,19820217de5b4a978e4809df6fdf5b69,samples/CAM_FRONT/n015-2018-07-24-11-13-19+0800__CAM_FRONT__1532402185612460.jpg,singapore-onenorth,"Construction, barriers behind net, parked trucks, excavators, turn left",2026-08-21T10:55:27
scene-0050,9a81caa3d5134d7f87ee4786ccef68f7,skip,,,57c713e11cdb42e5a2ddd18689462577,samples/CAM_FRONT/n015-2018-07-24-11-13-19+0800__CAM_FRONT__1532402288662460.jpg,singapore-onenorth,"Narrow street, seveal peds, shadows, turn left, parked motorcycle",2026-08-21T10:55:28
scene-0051,0e37d4a357db4246a908cfd97d17efc6,skip,,,336446ad881a4fe6afc3e9a35c1c924d,samples/CAM_FRONT/n015-2018-07-24-11-13-19+0800__CAM_FRONT__1532402315662460.jpg,singapore-onenorth,"Pass parked vehicles, peds, arrive at intersection",2026-08-21T10:55:29
scene-0052,37b32e4e8cf846679b2c0cb342dbd4aa,skip,,,49596a9edad246b686dbd9be30336bb9,samples/CAM_FRONT/n015-2018-07-24-11-13-19+0800__CAM_FRONT__1532402336012473.jpg,singapore-onenorth,"Oncoming car in the same lane, overtake parked car, turn left",2026-08-21T10:55:30
scene-0053,6d4b2bd795ae4c66900ad98ccd2371a6,skip,,,8da9aa3ec2734b2c83e26fe6d95e91cd,samples/CAM_FRONT/n015-2018-07-24-11-13-19+0800__CAM_FRONT__1532402436362460.jpg,singapore-onenorth,"Cross intersection in group of cars, peds, bike rack",2026-08-21T10:55:38
scene-0054,8b43539a55374b6c8ed60c95a42d63a2,keep,,,a47ac32a27d54a8cb7dc19e0fcd44984,samples/CAM_FRONT/n015-2018-07-24-11-13-19+0800__CAM_FRONT__1532402481612460.jpg,singapore-onenorth,"Turn left, many parked heavy trucks, workers",2026-08-21T10:55:41
scene-0055,446af4b1d7da4735a607bc3e45c2e0b3,skip,,,dada535ff38248c38348a7ebb861ec0e,samples/CAM_FRONT/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402593162460.jpg,singapore-onenorth,"Bus stop left, parked cars right, oncoming bus",2026-08-21T10:55:45
scene-0056,83773bcf46ac486383529098de0542dd,skip,,,c2ef5483f46b4cb4a6a75c2525312cc9,samples/CAM_FRONT/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402731412460.jpg,singapore-onenorth,"Peds, nature, construction, trash can, parked truck, turn right",2026-08-21T10:55:46
scene-0057,433a14f8dcf5457fb2c4def5c749122a,skip,,,baaee9a584c44599a35cfa0502930c51,samples/CAM_FRONT/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402751162460.jpg,singapore-onenorth,"Jaywalkers, parked bike and scooter, parked car on the main road",2026-08-21T10:55:50
scene-0058,9a1188aba4bf458c8220818a6c0be55a,skip,,,f7f87561b68f42d586bc462ddc643080,samples/CAM_FRONT/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402825012460.jpg,singapore-onenorth,"Construction, strange cleaning vehicle parked on our lane",2026-08-21T10:55:51
scene-0059,dcd5bc29543747e28ef02816dd458290,keep,,,c2335439198b4c009de691fe9affd1b4,samples/CAM_FRONT/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402874012460.jpg,singapore-onenorth,"Wait at intersection, bike on sidewalk, worker blowing leaves",2026-08-21T10:55:59
scene-0060,bb028034cb474e3da8953f83752a70a9,keep,,,362b37e8011d4ce69dbdb250f3279b38,samples/CAM_FRONT/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402885412460.jpg,singapore-onenorth,"Wait at intersection, bike on sidewalk, worker blowing leaves, bicycle crossing",2026-08-21T10:56:02
scene-0061,cc8c0bf57f984915a77078b10eb33198,skip,,,b26e791522294bec90f86fd72226e35c,samples/CAM_FRONT/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402937162460.jpg,singapore-onenorth,"Parked truck, construction, intersection, turn left, following a van",2026-08-21T10:56:05
scene-0062,762e6aac0d6f4c1b9b0286ab4b2da654,keep,,,ba088aff2a6647eca02ffd893cec79f9,samples/CAM_FRONT/n008-2018-08-01-15-52-19-0400__CAM_FRONT__1533153254912404.jpg,boston-seaport,"Change lane, parked cars, overhead walkways",2026-08-21T10:56:13
scene-0063,a8819942e8bb43b6a832c56dfb78cfc6,skip,,,b2ccc848be7a4d4ab7bf42914b50a82b,samples/CAM_FRONT/n008-2018-08-01-15-52-19-0400__CAM_FRONT__1533153281762404.jpg,boston-seaport,"Exit passage, parking lot, flag, trucks, wait at intersection",2026-08-21T10:56:15
scene-0064,7ad94b6e54f641208bf59cba6bb55220,skip,,,9657675e78c24c19b409ee9c04a135c3,samples/CAM_FRONT/n008-2018-08-01-15-52-19-0400__CAM_FRONT__1533153302162404.jpg,boston-seaport,"Parking lots, oncoming special electrical vehicle",2026-08-21T10:56:18
scene-0065,59530445fcc04c2090bfaf63f342f794,keep,,,f438741fc77c43358f7e61079e7d1e2d,samples/CAM_FRONT/n008-2018-08-01-15-52-19-0400__CAM_FRONT__1533153361012404.jpg,boston-seaport,"Wait at intersection, truck, peds, turn right, parking lot",2026-08-21T10:56:30
scene-0066,30e77a3561ce4f1bb4fd90e322ea29d7,keep,,,6a13cea7802d4e03b4ff07b70d1571ed,samples/CAM_FRONT/n008-2018-08-01-15-52-19-0400__CAM_FRONT__1533153421612404.jpg,boston-seaport,"Parking lots, parked truck, construction, congestion, worker directing traffic, passing cars",2026-08-21T10:56:41
scene-0067,cb0cd06a1dd84271968466d7b65e48f8,keep,,,04ed9c2ff5114dc7a4e64cba2c0062c2,samples/CAM_FRONT/n008-2018-08-01-15-52-19-0400__CAM_FRONT__1533153448262404.jpg,boston-seaport,"Exit construction, ped on crosswalk, construction workers, parking lot",2026-08-21T10:56:48
scene-0068,b0b26c1e5a1140e69598422f12ae1dc0,skip,,,0d93136f6245485a81c9069422e99122,samples/CAM_FRONT/n008-2018-08-01-15-52-19-0400__CAM_FRONT__1533153470862404.jpg,boston-seaport,"Two turning trucks, wait, turn left",2026-08-21T10:56:54
scene-0069,a5d7cc4bf3404cccb89932d94ccb9da6,skip,,,f097fef323a943e9b4c681e8ac9639d4,samples/CAM_FRONT/n008-2018-08-01-15-52-19-0400__CAM_FRONT__1533153490112404.jpg,boston-seaport,"Turn left, peds near parked bus, bird",2026-08-21T10:56:57
scene-0070,c0cb50847c3949a0b4baf2e200ac897c,skip,,,5a6bd62f71a543bbb0b54ccd2f3db710,samples/CAM_FRONT/n008-2018-08-01-15-52-19-0400__CAM_FRONT__1533153525162404.jpg,boston-seaport,"Peds, ped with bag, bus stop, parking lot, turn right, follow cyclist, trailers, turn left",2026-08-21T10:56:59
scene-0071,860ef56791a947baadb27dd00bd5d4b3,skip,,,c0d03923f3cc4a2f8955cbf16513d5d2,samples/CAM_FRONT/n008-2018-08-01-15-52-19-0400__CAM_FRONT__1533153556362404.jpg,boston-seaport,"Parked trucks, construction vehicles, road blocked relative to baseline route, find deviation",2026-08-21T10:57:03
scene-0072,fbf27198b3424e28ab1de2a12eb3dc4a,skip,,,2d268403069249d2b7a229194725b293,samples/CAM_FRONT/n008-2018-08-01-15-52-19-0400__CAM_FRONT__1533153648412404.jpg,boston-seaport,"Wait at intersection, running ped",2026-08-21T10:57:12
scene-0073,5557f4edc1464442812293e2ea90a586,skip,,,9e930f35e9b4483ebe079466b2633920,samples/CAM_FRONT/n008-2018-08-01-15-52-19-0400__CAM_FRONT__1533153680362404.jpg,boston-seaport,"Parked scooter, flock of pigeons, person sitting on top of bench, two trucks passing, turn right",2026-08-21T10:57:14
scene-0074,78c5f7d7b547483c906d8524a8c3190f,skip,,,d0eed45f8dea47aba7ab2d12ff39a2e7,samples/CAM_FRONT/n008-2018-08-01-15-52-19-0400__CAM_FRONT__1533153705012404.jpg,boston-seaport,"Wait at intersection, turn left, bike rack, parked cars, peds",2026-08-21T10:57:16
scene-0075,01c3f5e39956402da3e37845632fadca,skip,,,19cafb9a132e4860b422828a8ecaf2f2,samples/CAM_FRONT/n008-2018-08-01-15-52-19-0400__CAM_FRONT__1533153727912404.jpg,boston-seaport,"Parked cars, oncoming semi, two oncoming bikes, parked motorcycle, bike rack",2026-08-21T10:57:17
scene-0076,e9a94a93c36a4adb831eb67ec8bdf289,skip,,,8d2452eac7554346a408ab1a938ce31e,samples/CAM_FRONT/n008-2018-08-01-15-52-19-0400__CAM_FRONT__1533153757012404.jpg,boston-seaport,"Turn right, follow cyclist, turn right",2026-08-21T10:57:19
scene-0092,7365495b74464629813b41eacdb711af,skip,,,38c0c7b30e1142e4bc0833c2d489c493,samples/CAM_FRONT/n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151071512404.jpg,boston-seaport,"Drive through passage, peds walking alongside lane",2026-08-21T10:57:20
scene-0093,cba3ddd5c3664a43b6a08e586e094900,skip,,,636c9024749e46ee8a9987b58e2cf802,samples/CAM_FRONT/n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151192012404.jpg,boston-seaport,"Turn right, parking lots, cross intersection",2026-08-21T10:57:21
scene-0094,91c071bcc1ad4fa1b555399e1cfbab79,skip,,,15222be375f74f0d843a4289d18c746a,samples/CAM_FRONT/n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151213362404.jpg,boston-seaport,"Oncoming cyclist, cars, wait at intersection",2026-08-21T10:57:23
scene-0095,b4b82c4d338a4b6d86835388ce076345,keep,,,15e8288c2e60438bb4d65702ff0df804,samples/CAM_FRONT/n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151268662404.jpg,boston-seaport,"Wait at intersection, peds occluded, start driving",2026-08-21T10:57:33
scene-0096,68e79a88244f447f993a72da444b29ba,skip,,,39a5d8e9868d4dcd9cf8386068c903b3,samples/CAM_FRONT/n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151288612404.jpg,boston-seaport,"Cross busy intersection, cyclist nearby, construction barriers and cones",2026-08-21T10:57:42
scene-0097,2eb4d7f00e584a548aa0b899638bfb0a,keep,,,eb4b6de953e247bcafe77dffd79bc8ed,samples/CAM_FRONT/n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151346512404.jpg,boston-seaport,"Wait at red light, turns green, cross intersection",2026-08-21T10:57:47
scene-0098,c65c4acf86954f8cbd53a3541a3bfa3a,skip,,,ded088a5ef664ca687fd0e8c1e4bda1d,samples/CAM_FRONT/n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151384162404.jpg,boston-seaport,"Parked cars, peds, bus stop, bicycle rack, sign trailer, bicyclist, ped carrying object, bridge",2026-08-21T10:57:55
scene-0099,5af9c7f124d84e7e9ac729fafa40ea01,skip,,,3078e2541d58490cb8bad9de7801b7cc,samples/CAM_FRONT/n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151419162404.jpg,boston-seaport,"Parked vans, switch lane, construction zone in the right, bike following in rear, passed by active motorcycle",2026-08-21T11:03:18
scene-0100,afd73f70ff7d46d6b772d341c08e31a5,keep,,,7aca59dc11fb484da90cbabc1eea0be5,samples/CAM_FRONT/n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151489912404.jpg,boston-seaport,"Wait at red light, oncoming cyclist, peds, parked bicycle, parked construction car",2026-08-21T11:03:31
scene-0101,01452fbfbf4543af8acdfd3e8a1ee806,skip,,,d5324133e1d241658a7b763831b3af2e,samples/CAM_FRONT/n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151514512404.jpg,boston-seaport,"Concrete mixer spinning, traffic cones, wait at red light, move onto bridge, lane change",2026-08-21T11:03:41
scene-0102,ddb615d9bb22484cabc6545b632a1025,skip,,,2eb164aac518499f86fb04de8f9e52f2,samples/CAM_FRONT/n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151590362404.jpg,boston-seaport,"Turn right at intersection, cross bridge, many peds",2026-08-21T11:04:11
scene-0103,fcbccedd61424f1b85dcbf8f897f9754,skip,,,9fcdc52b791045e99c623c5fc643331f,samples/CAM_FRONT/n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151619912458.jpg,boston-seaport,"Many peds right, wait for turning car, long bike rack left, cyclist",2026-08-21T11:04:31
scene-0104,c525507ee2ef4c6d8bb64b0e0cf0dd32,skip,,,34875eefe5f943d38f5495664ff53bb0,samples/CAM_FRONT/n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151685612404.jpg,boston-seaport,"Start car, cross intersection, skyscraper occluded by traffic light, parked bicycles, parked cars, cross intersection",2026-08-21T11:04:36
scene-0105,2ed0fcbfc214478ca3b3ce013e7723ba,keep,,,1eecdb7bda554115a6161c16d4fb3782,samples/CAM_FRONT/n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151707662404.jpg,boston-seaport,"Parking lots, peds, parked cars, cars on elevated bridge, truck",2026-08-21T11:04:46
scene-0106,bed67ef03c4a4066a74f6c0117d512ee,keep,,,01bbf47bcb1c44ab8ae4fedd8a0e0520,samples/CAM_FRONT/n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151714362404.jpg,boston-seaport,"Drive between buildings under construction, slow down at intersection, several traffic cones and temporary barriers",2026-08-21T11:05:10
scene-0107,3b2ee26cb8484f77895bc336663df502,keep,,,1ed7231fca1748c3b697f29af4d9bc76,samples/CAM_FRONT/n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151749912404.jpg,boston-seaport,"Cross busy intersection, bendy bus changing lane",2026-08-21T21:48:46
scene-0108,a178a1b5415f45c08d179bd2cacdf284,keep,,,ccd733959138440885578f1afeaaa4a7,samples/CAM_FRONT/n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151836262404.jpg,boston-seaport,"Construction zone, waiting for car to pass, turn right",2026-08-21T21:48:53
